CÓDIGO,NOMBRE (catálogo Odoo),Presentación,,
,,,Lista USD,Lista BCV (Euro)
,,,USD s/IVA,VES s/IVA
779,SINOCO SAE 20W-50 (1x12),,41.38,51.72
782,API GL‐ 5 SAE 140 Tambor 208 L,,855.17,"1,068.97"
785,Concentrado Emulsionable Tambor 208 L,,487.07,608.62
786,Industrial biodegradable Tambor 208 L,,419.83,525
787,"Concentrado Emulsionable Paila 18,92 L",,48.28,60.34
788,"Industrial biodegradable Paila 18,92 L",,44.83,55.17
789,REFRIGERANTE GLOBAL VERDE (1X3),,20.69,25
790,REFRIGERANTE GLOBAL VERDE (Carboya),,41.38,50.86
791,Global GREEN COOLANT Anticongelante / Anticorrosivo Tambor 208 L,,367.24,458.62
792,REFRIGERANTE GLOBAL ROJO (1X3),,20.69,25
793,"Global RED COOLANT Anticongelante / Anticorrosivo Carboya 18,92 L",,41.38,50.86
794,REFRIGERANTE GLOBAL ROJO (Tambor),,367.24,458.62
795,REFRIGERANTE GLOBAL ORANGE PREMIUM 50-50 CONCENTRADO (1x3),,29.31,37.07
796,REFRIGERANTE GLOBAL ORANGE PREMIUM 50-50 CONCENTRADO (Carboya),,57.76,71.55
797,REFRIGERANTE GLOBAL ORANGE PREMIUM 50-50 CONCENTRADO (Tambor),,542.24,677.59
859,CF/SF SAE 20W 50 Diésel Multigrado Tambor 208 L,,879.31,"1,099.14"
860,"CF/SF SAE 20W 50 Diésel Multigrado Paila 18,92 L",,89.66,111.21
877,SS EXTRA PROTECCION API SN SAE 15W-40 (1X12),,62.07,82.76
878,SS EXTRA PROTECCION API SN SAE 20W-50 (1x12),,62.07,77.59
879,CARIBE FUERA DE BORDA TC-W3 2 TIEMPOS (1x12),,56.03,69.83
880,CLASICO API SL SAE 15W-40 (1x12),,53.45,67.24
881,CLASICO API SL SAE 20W-50 (1x12),,54.31,68.1
882,GRASA MULTIPLE EP 200 (PAILA),,138.79,173.28
883,GRASA GLOBAL AZUL AZ 95 (PAILA),,65.52,81.9
884,TRANSMATIC ATF DEXRON III (1x12),,57.76,71.55
885,TRANSMATIC ATF MERCON V (1x12),,90.52,112.93
886,TRANSMATIC DEXRON VI (1x12),,90.52,112.93
887,MOTOCLASICO 4T SAE 20W-50 (1x12),,56.9,70.69
888,ENDUROGLOB 2T AIRE (1x12),,56.9,70.69
915,SINOCO SAE 50 (1x12),,41.38,51.72
937,SS EXTRA PROTECCION API SN SAE 15W-40 (1X3),,59.48,75
938,CLASICO API SL SAE 20W-50 (1X3),,53.45,66.38
939,SUPREMO API CI-4 SAE 15W-40 (1X3),,68.97,86.21
940,MAXIMO API CF/SF SAE 50 (1X3),,62.07,77.59
970,GRASA GLOBAL AT 250 AR-EP (PAILA),,154.31,193.1
1035,SINOCO HIDRAULICO ISO 68 (PAILA),,,
1041,SINOCO API CF/SF SAE 15W-40 DIESEL (PAILA),,,
