so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag,absdev,pct,dist_nearest_list
S00062,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-03-11,USD,USD,42.25,39.0,feb23,39.0,49.0,por_encima,3.25,8.333333333333332,3.25
S00062,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima,18.480000000000004,25.66666666666667,5.519999999999996
S00062,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-11,USD,USD,50.87,47.0,feb23,47.0,59.0,por_encima,3.8699999999999974,8.234042553191484,3.8699999999999974
S00062,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,USD,USD,70.69,66.0,feb23,66.0,82.0,por_encima,4.689999999999998,7.106060606060603,4.689999999999998
S00062,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-03-11,USD,USD,70.69,66.0,feb23,66.0,82.0,por_encima,4.689999999999998,7.106060606060603,4.689999999999998
S00074,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.5172,83.0,feb23,67.0,83.0,por_debajo,20.482799999999997,-24.678072289156624,4.4827999999999975
S00078,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.8768,83.0,feb23,67.0,83.0,por_debajo,20.123199999999997,-24.24481927710843,4.123199999999997
S00083,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,VES,VES,80.4208,96.0,feb23,72.0,96.0,por_debajo,15.5792,-16.22833333333333,8.4208
S00083,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-12,VES,VES,58.8256,79.0,feb23,63.0,79.0,por_debajo,20.1744,-25.537215189873415,4.174399999999999
S00083,878.0,[0878] SS EXTRA PROTECCION API,2026-03-12,VES,VES,67.0231,90.0,feb23,72.0,90.0,por_debajo,22.9769,-25.52988888888889,4.9769000000000005
S00087,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,USD,USD,80.4208,72.0,mar12,72.0,96.0,por_encima,8.4208,11.695555555555554,8.4208
S00087,878.0,[0878] SS EXTRA PROTECCION API,2026-03-12,USD,USD,67.0231,72.0,mar12,72.0,90.0,por_debajo,4.9769000000000005,-6.912361111111112,4.9769000000000005
S00087,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,USD,USD,62.8768,67.0,mar12,67.0,83.0,por_debajo,4.123199999999997,-6.154029850746264,4.123199999999997
S00086,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.8768,83.0,feb23,67.0,83.0,por_debajo,20.123199999999997,-24.24481927710843,4.123199999999997
S00084,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-12,VES,VES,58.0827,78.0,feb23,62.0,78.0,por_debajo,19.917299999999997,-25.534999999999997,3.9172999999999973
S00090,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-13,USD,USD,67.25,62.0,mar12,62.0,78.0,por_encima,5.25,8.46774193548387,5.25
S00090,877.0,[0877] SS EXTRA PROTECCION API,2026-03-13,USD,USD,90.48,72.0,mar12,72.0,96.0,por_encima,18.480000000000004,25.66666666666667,5.519999999999996
S00089,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-13,USD,USD,70.69,66.0,mar12,66.0,82.0,por_encima,4.689999999999998,7.106060606060603,4.689999999999998
S00088,970.0,[0970] GRASA GLOBAL AT 250 AR-,2026-03-13,VES,VES,170.6186,224.0,feb23,179.0,224.0,por_debajo,53.38140000000001,-23.83098214285715,8.381400000000014
S00088,83.0,[0083] MAXIMO API CF SAE 50 (P,2026-03-13,VES,VES,76.3719,102.0,feb23,81.0,102.0,por_debajo,25.628100000000003,-25.12558823529412,4.628100000000003
S00092,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-13,USD,USD,50.87,47.0,mar12,47.0,59.0,por_encima,3.8699999999999974,8.234042553191484,3.8699999999999974
S00093,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-13,USD,USD,70.69,66.0,mar12,66.0,82.0,por_encima,4.689999999999998,7.106060606060603,4.689999999999998
S00010,970.0,[0970] GRASA GLOBAL AT 250 AR-,2026-03-16,USD,USD,195.37,179.0,mar12,179.0,224.0,por_encima,16.370000000000005,9.145251396648048,16.370000000000005
S00096,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-16,VES,VES,72.79,83.0,feb23,67.0,83.0,por_debajo,10.209999999999994,-12.3012048192771,5.790000000000006
S00096,7.0,[0007] ELITE API SN SAE 5W-20 ,2026-03-16,VES,VES,63.36,58.0,feb23,46.0,58.0,por_encima,5.359999999999999,9.241379310344827,5.359999999999999
S00096,878.0,[0878] SS EXTRA PROTECCION API,2026-03-16,VES,VES,77.59,90.0,feb23,72.0,90.0,por_debajo,12.409999999999997,-13.788888888888884,5.590000000000003
S00096,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-16,VES,VES,68.1,79.0,feb23,63.0,79.0,por_debajo,10.900000000000006,-13.797468354430386,5.099999999999994
S00097,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-16,VES,VES,39.46,45.0,feb23,36.0,45.0,por_debajo,5.539999999999999,-12.311111111111108,3.460000000000001
S00097,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-16,VES,VES,68.1,79.0,feb23,63.0,79.0,por_debajo,10.900000000000006,-13.797468354430386,5.099999999999994
S00097,878.0,[0878] SS EXTRA PROTECCION API,2026-03-16,VES,VES,77.59,90.0,feb23,72.0,90.0,por_debajo,12.409999999999997,-13.788888888888884,5.590000000000003
S00097,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-16,VES,VES,67.24,78.0,feb23,62.0,78.0,por_debajo,10.760000000000005,-13.794871794871803,5.239999999999995
S00097,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-16,VES,VES,72.79,83.0,feb23,67.0,83.0,por_debajo,10.209999999999994,-12.3012048192771,5.790000000000006
S00097,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-16,VES,VES,39.46,45.0,feb23,36.0,45.0,por_debajo,5.539999999999999,-12.311111111111108,3.460000000000001
S00095,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-16,VES,VES,63.36,58.0,feb23,46.0,58.0,por_encima,5.359999999999999,9.241379310344827,5.359999999999999
S00095,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-16,VES,VES,39.46,45.0,feb23,36.0,45.0,por_debajo,5.539999999999999,-12.311111111111108,3.460000000000001
S00095,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-16,VES,VES,67.24,78.0,feb23,62.0,78.0,por_debajo,10.760000000000005,-13.794871794871803,5.239999999999995
S00095,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-03-16,VES,VES,63.36,58.0,feb23,46.0,58.0,por_encima,5.359999999999999,9.241379310344827,5.359999999999999
S00095,795.0,[0795] REFRIGERANTE GLOBAL ORA,2026-03-16,VES,VES,37.71,43.0,feb23,34.0,43.0,por_debajo,5.289999999999999,-12.302325581395348,3.710000000000001
S00101,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-17,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00103,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-17,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00104,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-17,USD,USD,85.35,66.0,mar12,66.0,82.0,por_encima,19.349999999999994,29.31818181818181,3.3499999999999943
S00108,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-17,USD,USD,55.6,31.0,mar12,31.0,38.0,por_encima,24.6,79.35483870967742,17.6
S00108,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-17,USD,USD,86.64,67.0,mar12,67.0,83.0,por_encima,19.64,29.313432835820898,3.6400000000000006
S00116,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-18,USD,USD,49.35,63.0,mar12,63.0,79.0,por_debajo,13.649999999999999,-21.666666666666664,13.649999999999999
S00114,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-18,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00119,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-18,USD,USD,39.46,36.0,mar12,36.0,45.0,por_encima,3.460000000000001,9.611111111111112,3.460000000000001
S00121,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-19,VES,VES,39.46,45.0,feb23,36.0,45.0,por_debajo,5.539999999999999,-12.311111111111108,3.460000000000001
S00124,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-03-19,USD,USD,138.36,105.0,mar12,105.0,131.0,por_encima,33.360000000000014,31.771428571428583,7.360000000000014
S00124,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-19,USD,USD,63.36,46.0,mar12,46.0,58.0,por_encima,17.36,37.73913043478261,5.359999999999999
S00128,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-19,MIXTO,USD(mixto->Binance),85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00125,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-19,USD,USD,85.34,66.0,mar12,66.0,82.0,por_encima,19.340000000000003,29.303030303030308,3.3400000000000034
S00125,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-03-19,USD,USD,86.64,66.0,mar12,66.0,82.0,por_encima,20.64,31.272727272727273,4.640000000000001
