so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag
S00458,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-05-29,Sin Pago,INDETERMINADA,34.48,,,24.0,29.0,lista_indeterminada
S00458,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-05-29,Sin Pago,INDETERMINADA,34.48,,,24.0,29.0,lista_indeterminada
S00458,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-05-29,Sin Pago,INDETERMINADA,64.99,,,47.0,59.0,lista_indeterminada
S00458,73.0,[0073] SUPREMO API CI-4 SAE 15,2026-05-29,Sin Pago,INDETERMINADA,127.32,,,91.0,114.0,lista_indeterminada
S00458,25.0,[0025] SS EXTRA PROTECCION API,2026-05-29,Sin Pago,INDETERMINADA,50.4,,,36.0,45.0,lista_indeterminada
S00458,939.0,[0939] SUPREMO API CI-4 SAE 15,2026-05-29,Sin Pago,INDETERMINADA,122.02,,,80.0,100.0,lista_indeterminada
S00458,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-05-29,Sin Pago,INDETERMINADA,53.05,,,36.0,45.0,lista_indeterminada
S00458,940.0,[0940] MAXIMO API CF/SF SAE 50,2026-05-29,Sin Pago,INDETERMINADA,108.75,,,72.0,90.0,lista_indeterminada
S00458,938.0,[0938] CLASICO API SL SAE 20W-,2026-05-29,Sin Pago,INDETERMINADA,94.16,,,62.0,77.0,lista_indeterminada
S00458,880.0,[0880] CLASICO API SL SAE 15W-,2026-05-29,Sin Pago,INDETERMINADA,86.21,,,62.0,78.0,lista_indeterminada
S00458,878.0,[0878] SS EXTRA PROTECCION API,2026-05-29,Sin Pago,INDETERMINADA,100.8,,,72.0,90.0,lista_indeterminada
S00458,561.0,[0561] MEJORADOR DE OCTANAJE G,2026-05-29,Sin Pago,INDETERMINADA,51.72,,,34.0,43.0,lista_indeterminada
S00458,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-05-29,Sin Pago,INDETERMINADA,41.11,,,31.0,38.0,lista_indeterminada
S00458,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-05-29,Sin Pago,INDETERMINADA,57.03,,,39.0,49.0,lista_indeterminada
S00458,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-05-29,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00458,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-05-29,Sin Pago,INDETERMINADA,51.72,,,36.0,45.0,lista_indeterminada
S00458,473.0,[0473] SS EXTRA PROTECCION API,2026-05-29,Sin Pago,INDETERMINADA,55.7,,,37.0,46.0,lista_indeterminada
S00458,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-05-29,Sin Pago,INDETERMINADA,157.82,,,105.0,131.0,lista_indeterminada
S00458,881.0,[0881] CLASICO API SL SAE 20W-,2026-05-29,Sin Pago,INDETERMINADA,86.21,,,63.0,79.0,lista_indeterminada
S00458,93.0,[0093] ALTA CILINDRADA SS API ,2026-05-29,Sin Pago,INDETERMINADA,46.42,,,34.0,42.0,lista_indeterminada
S00458,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-05-29,Sin Pago,INDETERMINADA,99.47,,,66.0,82.0,lista_indeterminada
S00458,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-05-29,Sin Pago,INDETERMINADA,72.94,,,46.0,58.0,lista_indeterminada
S00458,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-05-29,Sin Pago,INDETERMINADA,72.94,,,46.0,58.0,lista_indeterminada
S00458,937.0,[0937] SS EXTRA PROTECCION API,2026-05-29,Sin Pago,INDETERMINADA,104.77,,,69.0,87.0,lista_indeterminada
S00465,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-05-29,Sin Pago,INDETERMINADA,95.49,,,67.0,83.0,lista_indeterminada
S00465,1.0,[0001] ELITE API SP SAE 0W-20 ,2026-05-29,Sin Pago,INDETERMINADA,74.27,,,49.0,61.0,lista_indeterminada
S00466,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-05-29,USD,USD,70.29,,,,,producto_sin_lista
S00469,878.0,[0878] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,100.8,,,72.0,90.0,lista_indeterminada
S00469,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-01,Sin Pago,INDETERMINADA,86.21,,,63.0,79.0,lista_indeterminada
S00468,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-01,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00468,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-06-01,Sin Pago,INDETERMINADA,34.48,,,24.0,29.0,lista_indeterminada
S00468,25.0,[0025] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,50.4,,,36.0,45.0,lista_indeterminada
S00468,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-06-01,Sin Pago,INDETERMINADA,72.94,,,46.0,58.0,lista_indeterminada
S00468,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-01,Sin Pago,INDETERMINADA,86.21,,,63.0,79.0,lista_indeterminada
S00468,1.0,[0001] ELITE API SP SAE 0W-20 ,2026-06-01,Sin Pago,INDETERMINADA,74.27,,,49.0,61.0,lista_indeterminada
S00468,877.0,[0877] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00467,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-06-01,USD,USD,99.47,66.0,mar12,66.0,82.0,por_encima
S00472,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-01,VES,VES,70.29,,,,,producto_sin_lista
S00472,915.0,[0915] SINOCO SAE 50 (1x12),2026-06-01,VES,VES,70.29,,,,,producto_sin_lista
S00471,83.0,[0083] MAXIMO API CF SAE 50 (P,2026-06-01,VES,VES,112.73,102.0,feb23,81.0,102.0,por_encima
S00475,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-01,USD,USD,70.29,,,,,producto_sin_lista
S00474,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-06-01,Sin Pago,INDETERMINADA,64.99,,,47.0,59.0,lista_indeterminada
S00473,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-01,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00476,25.0,[0025] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,50.4,,,36.0,45.0,lista_indeterminada
S00476,878.0,[0878] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,100.8,,,72.0,90.0,lista_indeterminada
S00476,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-06-01,Sin Pago,INDETERMINADA,72.94,,,46.0,58.0,lista_indeterminada
S00477,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-06-01,Sin Pago,INDETERMINADA,95.49,,,67.0,83.0,lista_indeterminada
S00477,877.0,[0877] SS EXTRA PROTECCION API,2026-06-01,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00478,877.0,[0877] SS EXTRA PROTECCION API,2026-06-02,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00480,877.0,[0877] SS EXTRA PROTECCION API,2026-06-02,nan,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00479,1035.0,[1035] SINOCO HIDRAULICO ISO 6,2026-06-02,Sin Pago,INDETERMINADA,86.21,,,,,lista_indeterminada
S00479,880.0,[0880] CLASICO API SL SAE 15W-,2026-06-02,Sin Pago,INDETERMINADA,86.21,,,62.0,78.0,lista_indeterminada
S00479,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-02,Sin Pago,INDETERMINADA,90.19,,,66.0,82.0,lista_indeterminada
S00479,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-06-02,Sin Pago,INDETERMINADA,57.03,,,39.0,49.0,lista_indeterminada
S00479,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-02,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00479,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-02,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00479,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-02,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00479,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-02,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00479,877.0,[0877] SS EXTRA PROTECCION API,2026-06-02,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00482,603.0,[0603] SINOCO SAE 50 (Tambor),2026-06-02,Sin Pago,INDETERMINADA,925.73,,,,,lista_indeterminada
S00484,25.0,[0025] SS EXTRA PROTECCION API,2026-06-02,Sin Pago,INDETERMINADA,50.4,,,36.0,45.0,lista_indeterminada
S00483,878.0,[0878] SS EXTRA PROTECCION API,2026-06-02,Sin Pago,INDETERMINADA,100.8,,,72.0,90.0,lista_indeterminada
S00485,877.0,[0877] SS EXTRA PROTECCION API,2026-06-02,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00470,797.0,[0797] REFRIGERANTE GLOBAL ORA,2026-06-03,Sin Pago,INDETERMINADA,856.76,,,629.0,786.0,lista_indeterminada
S00486,877.0,[0877] SS EXTRA PROTECCION API,2026-06-03,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00487,141.0,[0141] HIDRAGLOB AW/ISO 46 (Ta,2026-06-03,nan,INDETERMINADA,1232.1,,,905.0,1131.0,lista_indeterminada
S00488,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-03,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00488,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-03,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00488,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-03,Sin Pago,INDETERMINADA,90.19,,,66.0,82.0,lista_indeterminada
S00489,877.0,[0877] SS EXTRA PROTECCION API,2026-06-03,VES,VES,100.8,96.0,feb23,72.0,96.0,por_encima
S00489,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-03,VES,VES,90.19,82.0,feb23,66.0,82.0,por_encima
S00489,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-03,VES,VES,35.81,33.0,feb23,26.0,33.0,por_encima
S00489,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-03,VES,VES,70.29,,,,,producto_sin_lista
S00489,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-03,VES,VES,86.21,79.0,feb23,63.0,79.0,por_encima
S00491,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-03,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00491,877.0,[0877] SS EXTRA PROTECCION API,2026-06-03,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00491,878.0,[0878] SS EXTRA PROTECCION API,2026-06-03,Sin Pago,INDETERMINADA,100.8,,,72.0,90.0,lista_indeterminada
S00491,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-03,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00490,877.0,[0877] SS EXTRA PROTECCION API,2026-06-03,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00492,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-03,USD,USD,96.82,,,,,producto_sin_lista
S00493,561.0,[0561] MEJORADOR DE OCTANAJE G,2026-06-03,Sin Pago,INDETERMINADA,51.72,,,34.0,43.0,lista_indeterminada
S00494,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-03,Sin Pago,INDETERMINADA,86.21,,,63.0,79.0,lista_indeterminada
S00494,877.0,[0877] SS EXTRA PROTECCION API,2026-06-03,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00495,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-06-04,Sin Pago,INDETERMINADA,34.48,,,24.0,29.0,lista_indeterminada
S00496,144.0,[0144] HIDRAGLOB AW/ISO 68 (PA,2026-06-04,Sin Pago,INDETERMINADA,94.16,,,73.0,91.0,lista_indeterminada
S00500,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-04,Sin Pago,INDETERMINADA,56.0345,,,63.0,79.0,lista_indeterminada
S00499,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-04,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00497,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-06-04,Sin Pago,INDETERMINADA,95.49,,,67.0,83.0,lista_indeterminada
S00497,881.0,[0881] CLASICO API SL SAE 20W-,2026-06-04,Sin Pago,INDETERMINADA,86.21,,,63.0,79.0,lista_indeterminada
S00497,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-06-04,Sin Pago,INDETERMINADA,35.81,,,26.0,33.0,lista_indeterminada
S00497,877.0,[0877] SS EXTRA PROTECCION API,2026-06-04,Sin Pago,INDETERMINADA,100.8,,,72.0,96.0,lista_indeterminada
S00502,878.0,[0878] SS EXTRA PROTECCION API,2026-06-04,USD,USD,100.8,72.0,mar12,72.0,90.0,por_encima
S00503,877.0,[0877] SS EXTRA PROTECCION API,2026-06-04,VES,VES,100.8,96.0,feb23,72.0,96.0,por_encima
S00501,1041.0,[1041] SINOCO API CF/SF SAE 15,2026-06-04,Sin Pago,INDETERMINADA,104.77,,,,,lista_indeterminada
S00504,1035.0,[1035] SINOCO HIDRAULICO ISO 6,2026-06-04,nan,INDETERMINADA,86.21,,,,,lista_indeterminada
S00504,1041.0,[1041] SINOCO API CF/SF SAE 15,2026-06-04,nan,INDETERMINADA,104.77,,,,,lista_indeterminada
S00504,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-04,nan,INDETERMINADA,96.82,,,,,lista_indeterminada
S00507,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-06-04,VES,VES,90.19,82.0,feb23,66.0,82.0,por_encima
S00507,93.0,[0093] ALTA CILINDRADA SS API ,2026-06-04,VES,VES,46.42,42.0,feb23,34.0,42.0,por_encima
S00505,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-06-04,Sin Pago,INDETERMINADA,64.99,,,47.0,59.0,lista_indeterminada
S00508,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-05,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00508,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-05,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00506,877.0,[0877] SS EXTRA PROTECCION API,2026-06-05,USD,USD,65.5172,72.0,mar12,72.0,96.0,por_debajo
S00509,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-05,Sin Pago,INDETERMINADA,62.93,,,,,lista_indeterminada
S00510,880.0,[0880] CLASICO API SL SAE 15W-,2026-06-05,Sin Pago,INDETERMINADA,86.21,,,62.0,78.0,lista_indeterminada
S00511,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-06-05,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00511,602.0,[0602] SINOCO SAE 50 (PAILA),2026-06-05,Sin Pago,INDETERMINADA,96.82,,,,,lista_indeterminada
S00511,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-06-05,Sin Pago,INDETERMINADA,70.29,,,,,lista_indeterminada
S00511,885.0,[0885] TRANSMATIC ATF MERCON V,2026-06-05,Sin Pago,INDETERMINADA,157.82,,,105.0,131.0,lista_indeterminada
